path,split,group,attention,person,workspace,phone,gaze,note,pack_label
eval/at_desk/main_at_desk_f1f031b4c4fb.jpg,eval,img_0021b5c0e435,focused,face_or_body,False,none,work,"Person sitting on bench with laptop, looking at screen.",at_desk
eval/uncertain/main_uncertain_20b9e2b73792.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Extremely pixelated image; gaze and actions cannot be determined.,uncertain
eval/uncertain/main_uncertain_38c1e50d329c.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image too pixelated to determine attention or confirm phone use.,uncertain
eval/uncertain/main_uncertain_5f02628c9e24.jpg,eval,img_0025b6b2a032,phone,face_or_body,True,in_use,phone,Person at desk looking down at phone in hands.,uncertain
eval/uncertain/main_uncertain_7d4bbcc185f4.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image too pixelated to determine gaze or device usage.,uncertain
eval/uncertain/main_uncertain_9613cf9b860f.jpg,eval,img_0025b6b2a032,focused,face_or_body,True,none,work,Person in plaid shirt at desk focused on monitor; two others nearby.,uncertain
eval/uncertain/main_uncertain_cf1efba28703.jpg,eval,img_0025b6b2a032,phone,face_or_body,True,in_use,phone,Standing person in orange sweater using phone.,uncertain
eval/uncertain/main_uncertain_d66e305962a6.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image too blurred to determine attention or specific actions.,uncertain
eval/uncertain/main_uncertain_ddb5cfcf163c.jpg,eval,img_0025b6b2a032,focused,face_or_body,True,none,work,"Person in plaid shirt focused on monitor, two others present.",uncertain
train/uncertain/main_uncertain_0d9bbccbb28d.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Heavily pixelated image; person visible at desk but attention and devices indiscernible.,uncertain
train/uncertain/main_uncertain_26f21bbaf694.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image is extremely blurry; attention and device usage cannot be determined.,uncertain
train/uncertain/main_uncertain_2af806fa5d24.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Extreme pixelation prevents assessment of gaze or device use; classroom setting visible.,uncertain
train/uncertain/main_uncertain_3d9bb313ef2e.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image is extremely blurry; attention and objects cannot be determined.,uncertain
train/uncertain/main_uncertain_3f7814b8ab04.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image too blurred to determine gaze direction or device usage accurately.,uncertain
train/uncertain/main_uncertain_a0c83fbe4d9a.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Severe pixelation obscures all details; workspace inferred from context.,uncertain
train/uncertain/main_uncertain_a10c7e02072c.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,"Image is extremely blurry; multiple people visible, attention cannot be determined.",uncertain
train/uncertain/main_uncertain_a8d5e6b388d5.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Blurry image; multiple people present; attention and phone use indeterminable.,uncertain
train/uncertain/main_uncertain_b278cbfd2f35.jpg,eval,img_0025b6b2a032,,face_or_body,True,none,unclear,Image extremely blurry; figures visible but specific actions and gaze indistinguishable.,uncertain
train/uncertain/main_uncertain_e22283dac9d2.jpg,eval,img_0025b6b2a032,unfocused,face_or_body,True,idle,elsewhere,Seated man looks away from work while colleagues observe nearby.,uncertain
train/uncertain/main_uncertain_e8dea72f2b3d.jpg,eval,img_0025b6b2a032,unfocused,face_or_body,True,none,elsewhere,Multiple people in an office; the standing man is talking to seated colleagues.,uncertain
eval/uncertain/main_uncertain_19d1b5fa58d2.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Extremely blurry image; person present at desk but attention and details cannot be determined.,uncertain
eval/uncertain/main_uncertain_2c3f84571ecf.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Blurred image shows person at desk; gaze and activity indeterminate.,uncertain
eval/uncertain/main_uncertain_6efb331d894d.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,"Extremely dark image; person seated at desk facing monitor, but visibility too low to confirm focus.",uncertain
eval/uncertain/main_uncertain_8c29c7dd3dba.jpg,eval,img_0051cdd913ee,,none,False,none,unclear,"Image too blurred to identify person, workspace, phone, or attention.",uncertain
eval/uncertain/main_uncertain_8cdad1b3c36e.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Extremely blurry image; attention and specific details cannot be determined.,uncertain
train/uncertain/main_uncertain_0e3c76a4bf69.jpg,eval,img_0051cdd913ee,,none,True,none,unclear,Image is too dark to see any person or details.,uncertain
train/uncertain/main_uncertain_119cd7063aff.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,"Person seated at desk facing monitor, back to camera, engaged with screen.",uncertain
train/uncertain/main_uncertain_2463ded9260e.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,Person sitting at desk facing computer monitor.,uncertain
train/uncertain/main_uncertain_32c31d23b2ce.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,"Image very blurry; person and desk visible, but attention and device use unclear.",uncertain
train/uncertain/main_uncertain_3996665bb3e8.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,Person sitting at desk facing computer monitor.,uncertain
train/uncertain/main_uncertain_3cf72a157e94.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Heavy blur obscures details; person and desk visible but attention indeterminate.,uncertain
train/uncertain/main_uncertain_4267010ea20d.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Image is extremely blurry; attention and phone usage cannot be determined.,uncertain
train/uncertain/main_uncertain_516aead24358.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,"Image too blurred to determine gaze, phone use, or precise posture.",uncertain
train/uncertain/main_uncertain_7737e079ccd3.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,Student sitting at desk facing computer monitor.,uncertain
train/uncertain/main_uncertain_8fe953fb6e1e.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Image is too dark to determine gaze or activity.,uncertain
train/uncertain/main_uncertain_a284faf3d93d.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Image is extremely pixelated; gaze and device use cannot be determined.,uncertain
train/uncertain/main_uncertain_acd6b6f547f9.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,Student sitting at desk facing computer monitor.,uncertain
train/uncertain/main_uncertain_b58f40306e10.jpg,eval,img_0051cdd913ee,focused,face_or_body,True,none,work,Person sitting at desk facing computer monitor.,uncertain
train/uncertain/main_uncertain_bbe1d05f9e00.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,Image is too blurry to identify details or determine attention.,uncertain
train/uncertain/main_uncertain_bfa8f2ef3158.jpg,eval,img_0051cdd913ee,,face_or_body,False,none,unclear,Image too blurry to determine focus or workspace details.,uncertain
train/uncertain/main_uncertain_d8da737a45c3.jpg,eval,img_0051cdd913ee,,face_or_body,True,none,unclear,"Severely pixelated; person and desk faintly visible, gaze unverifiable.",uncertain
train/at_desk/main_at_desk_46f1a43186c4.jpg,train,img_0056d903e3f7,focused,face_or_body,True,idle,work,"Student typing on laptop, phone visible on desk.",at_desk
eval/distracted/distracted_366.jpg,eval,img_00aa50e25e03,phone,face_or_body,True,in_use,phone,Person looking at phone while sitting at mixing console.,distracted
train/away/away_p16155281.jpg,train,img_00c9b36b8d5a,,none,True,none,unclear,"Empty workspace with open laptop, no person visible.",away
eval/at_desk/main_at_desk_0bf1a364312b.jpg,eval,img_01105efe55ee,,none,False,none,unclear,No person visible in the image.,at_desk
train/at_desk/main_at_desk_13a25dfd1f3e.jpg,eval,img_01105efe55ee,,none,True,none,unclear,Laptop is open but no person is visible.,at_desk
train/at_desk/main_at_desk_1fa71b84e405.jpg,eval,img_01105efe55ee,,none,True,none,unclear,"Image shows a laptop, no person is visible.",at_desk
train/at_desk/main_at_desk_2e383446bb4b.jpg,eval,img_01105efe55ee,,none,True,none,unclear,"No person visible in the image, only a laptop.",at_desk
train/at_desk/main_at_desk_3159398932e4.jpg,eval,img_01105efe55ee,,none,False,none,unclear,"No person visible in the image, just a laptop illustration.",at_desk
train/at_desk/main_at_desk_34973d969da4.jpg,eval,img_01105efe55ee,,none,False,none,unclear,No person visible in image.,at_desk
train/at_desk/main_at_desk_84bd347cc491.jpg,eval,img_01105efe55ee,,none,True,none,unclear,"No person visible, just a laptop on a surface.",at_desk
train/at_desk/main_at_desk_91dcf126d13c.jpg,eval,img_01105efe55ee,,none,True,none,unclear,Image shows a laptop only; no person is visible.,at_desk
train/at_desk/main_at_desk_dd477ff45a51.jpg,eval,img_01105efe55ee,,none,True,none,unclear,"Laptop visible, no person present to judge attention.",at_desk
train/uncertain/main_uncertain_4dfe9c4a8dfd.jpg,eval,img_01105efe55ee,,none,True,none,unclear,"Laptop visible, no person present in frame.",uncertain
train/at_desk/main_at_desk_98746b7f3267.jpg,train,img_011ae15b1fa5,focused,face_or_body,True,none,work,Student looking at tablet on desk.,at_desk
eval/at_desk/at_desk_020.jpg,eval,img_011ba1d0b153,focused,face_or_body,True,none,work,"Student sits at desk facing chalkboard, engaged in writing or reading.",at_desk
train/at_desk/main_at_desk_ff1fde0032b7.jpg,eval,img_011ba1d0b153,focused,face_or_body,True,none,work,Student sitting at desk facing blackboard schedule.,at_desk
train/away/main_away_6a9fd3439aba.jpg,train,img_0130215fb914,focused,face_or_body,True,idle,work,Woman in foreground focused on laptop; phone idle on desk.,away
train/distracted/distracted_217.jpg,train,img_014787308266,,face_or_body,False,none,elsewhere,"Group of women smiling, looking at each other.",distracted
train/away/main_away_cd571fa4d34b.jpg,train,img_01bef6dfc1cf,focused,face_or_body,False,none,work,"Historical painting shows angel and woman reading book, no desk or phone.",away
train/at_desk/at_desk_p5905749.jpg,train,img_01c58bd888cc,,face_or_body,True,none,camera,Student is looking at a video call on the screen.,at_desk
train/distracted/distracted_142.jpg,train,img_01ecad02ecca,phone,face_or_body,False,in_use,phone,"Person in bed looking at phone, laptop open nearby.",distracted
train/at_desk/at_desk_p4384091.jpg,train,img_01ffcd871ebd,focused,face_or_body,True,none,work,Child sitting at table looking at laptop screen.,at_desk
train/away/away_p22763683.jpg,train,img_0207ec74b0ce,,none,True,none,unclear,No person visible in the image.,away
train/distracted/distracted_101.jpg,train,img_020b6ee47c71,phone,face_or_body,True,in_use,phone,Student using smartphone instead of working.,distracted
train/at_desk/at_desk_p4144100.jpg,train,img_023bc10c95c9,focused,face_or_body,True,none,work,Student writing in a notebook at a desk.,at_desk
train/distracted/main_distracted_82dffa279180.jpg,train,img_023bc10c95c9,focused,face_or_body,True,none,work,Student writing in notebook at desk.,distracted
train/uncertain/main_uncertain_689a88b50829.jpg,train,img_023bc10c95c9,focused,face_or_body,True,none,work,"Blurry student in yellow shirt leaning over desk, likely writing.",uncertain
train/at_desk/at_desk_p8197503.jpg,train,img_0262f1eb3d36,focused,face_or_body,True,none,work,Student looking at laptop while writing notes.,at_desk
train/distracted/distracted_057.jpg,train,img_026b61b3403f,phone,face_or_body,True,in_use,phone,Student looking down at phone while seated at desk.,distracted
train/distracted/main_distracted_323e52cbd147.jpg,train,img_027c779ddd8b,unfocused,face_or_body,True,none,elsewhere,Student looks away from desk while holding a headset.,distracted
train/distracted/distracted_332.jpg,train,img_02c4fa055da0,,face_or_body,False,idle,camera,"Woman standing by window holding phone, looking at camera.",distracted
train/away/away_p3747473.jpg,train,img_02f4c1ead635,,none,True,none,unclear,"Empty room with computers, no person visible.",away
train/at_desk/main_at_desk_97b22fdab68f.jpg,train,img_0321538a3add,,none,False,none,unclear,"Image is a conceptual sketchnote, not a photo of a student at a desk.",at_desk
train/away/away_p1229865.jpg,train,img_0323ce038365,,none,True,none,unclear,"Workspace visible with laptop, mug, and plant; no person present.",away
train/at_desk/at_desk_p9127062.jpg,train,img_033a8b5d460c,focused,face_or_body,True,none,work,Student is focused on writing in a notebook.,at_desk
train/at_desk/main_at_desk_e0ff31f968eb.jpg,train,img_0344110124cd,,face_or_body,True,none,camera,Woman raises hands and looks directly at camera.,at_desk
train/away/away_p21325133.jpg,train,img_0369041a754c,,none,True,none,unclear,"Desk setup with laptop, monitor, camera, and lamp; no person visible.",away
train/at_desk/at_desk_p5917846.jpg,train,img_036ab83c5d63,focused,face_or_body,True,none,work,Woman looking at computer monitor.,at_desk
train/distracted/distracted_043.jpg,train,img_037099c2fb84,,face_or_body,False,none,elsewhere,Two Coast Guard members looking out at the ocean.,distracted
eval/at_desk/at_desk_p15982364.jpg,eval,img_03c129009d76,,face_or_body,True,none,camera,Man looks directly at the camera through the window.,at_desk
train/at_desk/at_desk_007.jpg,train,img_03c6608b0a9b,,hands_only,True,none,work,"Hands typing on laptop keyboard, focus appears to be on work.",at_desk
train/at_desk/main_at_desk_735d8bcd0a14.jpg,train,img_03c6608b0a9b,,hands_only,True,none,work,Hands typing on a laptop at a desk.,at_desk
train/uncertain/uncertain_syn_pixel_blur.jpg,train,img_03c6608b0a9b,phone,hands_only,True,in_use,phone,Blurry image shows hands holding and using a phone.,uncertain
train/at_desk/main_at_desk_f1ceaacb5aac.jpg,train,img_03e0eb575f44,,none,False,none,unclear,"Image shows a whiteboard with notes, no person visible.",at_desk
train/away/away_p5324875.jpg,train,img_03e4e2507b43,focused,face_or_body,True,none,work,Student focused on laptop screen at desk.,away
train/at_desk/at_desk_p5905878.jpg,train,img_0404b5473737,focused,face_or_body,True,none,work,Student writing in notebook while viewing laptop.,at_desk
eval/uncertain/main_uncertain_e81de8e8814e.jpg,eval,img_0420678c9bfb,focused,face_or_body,True,none,work,"Student seated at desk facing monitor, back visible; image very bright.",uncertain
train/uncertain/main_uncertain_0928c7e7c747.jpg,eval,img_0420678c9bfb,focused,face_or_body,True,none,work,"Person sitting at desk facing monitor, back to camera.",uncertain
train/uncertain/main_uncertain_41cd2d351d22.jpg,eval,img_0420678c9bfb,focused,face_or_body,True,none,work,"Person sitting at desk facing monitor in bright, overexposed room.",uncertain
train/uncertain/main_uncertain_9e1d7f80f987.jpg,eval,img_0420678c9bfb,focused,face_or_body,True,none,work,"Person seated at desk facing monitor, back visible, appearing to work.",uncertain
train/uncertain/main_uncertain_ac5c0ac3e4e4.jpg,eval,img_0420678c9bfb,unfocused,face_or_body,True,none,elsewhere,"Student at desk looking sideways at another person, not at screen.",uncertain
